2026-06-29 14:23:05,873 | [META-RNW] | INFO | __main__ | Run ID: 20260629_142305_meta_renewed | dropout=0.50 | patience=40 | lr=1e-04 | wd=1e-02
2026-06-29 14:23:05,874 | [META-RNW] | INFO | __main__ | Log file: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/logs/run_20260629_142305_meta_renewed.log
2026-06-29 14:23:07,760 | [META-RNW] | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/apple/mobilevit-small "HTTP/1.1 200 OK"
2026-06-29 14:23:08,160 | [META-RNW] | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/apple/mobilevit-small/commits/main "HTTP/1.1 200 OK"
2026-06-29 14:23:08,236 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | Shared backbone ready on cuda.
2026-06-29 14:23:08,238 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | === Fold 01/30 | train: 22 subj | test: 10 subj ===
2026-06-29 14:23:08,251 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Device: cuda | max_epochs=500 | batch=8 | es_patience=40 | lr=1e-04 | wd=1e-02
2026-06-29 14:23:08,252 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | CE weights — HC: 1.100  MCI: 0.917
2026-06-29 14:23:08,397 | [META-RNW] | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/apple/mobilevit-small/discussions?p=0 "HTTP/1.1 200 OK"
2026-06-29 14:23:08,624 | [META-RNW] | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/apple/mobilevit-small/commits/refs%2Fpr%2F6 "HTTP/1.1 200 OK"
2026-06-29 14:23:08,839 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/refs%2Fpr%2F6/model.safetensors.index.json "HTTP/1.1 404 Not Found"
2026-06-29 14:23:09,078 | [META-RNW] | INFO | httpx | HTTP Request: HEAD https://huggingface.co/apple/mobilevit-small/resolve/refs%2Fpr%2F6/model.safetensors "HTTP/1.1 302 Found"
2026-06-29 14:23:10,095 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [001/500] T-Acc:  81.8%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 2.00e-05
2026-06-29 14:23:10,194 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_142305_meta_renewed/fold_00_best.pth
2026-06-29 14:23:10,688 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [002/500] T-Acc:  36.4%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 4.00e-05
2026-06-29 14:23:11,165 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [003/500] T-Acc:  54.5%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 6.00e-05
2026-06-29 14:23:11,615 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [004/500] T-Acc:  45.5%  V-Acc:  70.0%  V-AUROC: 0.7083  LR: 8.00e-05
2026-06-29 14:23:12,038 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [005/500] T-Acc:  45.5%  V-Acc:  40.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:23:12,479 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [006/500] T-Acc:  40.9%  V-Acc:  40.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 14:23:12,595 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_142305_meta_renewed/fold_00_best.pth
2026-06-29 14:23:13,039 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [007/500] T-Acc:  45.5%  V-Acc:  50.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 14:23:13,481 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [008/500] T-Acc:  63.6%  V-Acc:  70.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:23:13,916 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [009/500] T-Acc:  59.1%  V-Acc:  70.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:23:14,379 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [010/500] T-Acc:  45.5%  V-Acc:  40.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 14:23:14,790 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [011/500] T-Acc:  68.2%  V-Acc:  40.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 14:23:15,201 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [012/500] T-Acc:  45.5%  V-Acc:  40.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:23:15,598 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [013/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:23:15,972 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [014/500] T-Acc:  72.7%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:23:16,420 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [015/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 14:23:16,849 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [016/500] T-Acc:  54.5%  V-Acc:  60.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 14:23:17,277 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [017/500] T-Acc:  45.5%  V-Acc:  70.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 14:23:17,694 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [018/500] T-Acc:  68.2%  V-Acc:  70.0%  V-AUROC: 0.7500  LR: 2.00e-05
2026-06-29 14:23:18,131 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [019/500] T-Acc:  59.1%  V-Acc:  70.0%  V-AUROC: 0.7500  LR: 2.00e-05
2026-06-29 14:23:18,549 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [020/500] T-Acc:  77.3%  V-Acc:  50.0%  V-AUROC: 0.7500  LR: 2.00e-05
2026-06-29 14:23:18,967 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [021/500] T-Acc:  77.3%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 2.00e-05
2026-06-29 14:23:19,387 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [022/500] T-Acc:  54.5%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 2.00e-05
2026-06-29 14:23:19,817 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [023/500] T-Acc:  59.1%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 2.00e-05
2026-06-29 14:23:20,219 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [024/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 2.00e-05
2026-06-29 14:23:20,622 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [025/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 2.00e-05
2026-06-29 14:23:21,031 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [026/500] T-Acc:  59.1%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 2.00e-05
2026-06-29 14:23:21,426 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [027/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 2.00e-05
2026-06-29 14:23:21,844 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [028/500] T-Acc:  45.5%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 2.00e-05
2026-06-29 14:23:22,277 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [029/500] T-Acc:  54.5%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:22,716 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [030/500] T-Acc:  40.9%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:23,151 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [031/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:23,586 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [032/500] T-Acc:  68.2%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:23,989 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [033/500] T-Acc:  77.3%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:24,414 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [034/500] T-Acc:  68.2%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:24,817 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [035/500] T-Acc:  77.3%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:25,239 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [036/500] T-Acc:  50.0%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:25,704 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [037/500] T-Acc:  77.3%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:26,162 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [038/500] T-Acc:  90.9%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:26,608 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [039/500] T-Acc:  50.0%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 4.00e-06
2026-06-29 14:23:27,008 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [040/500] T-Acc:  68.2%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 1.00e-06
2026-06-29 14:23:27,428 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [041/500] T-Acc:  68.2%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 1.00e-06
2026-06-29 14:23:27,869 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [042/500] T-Acc:  81.8%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 1.00e-06
2026-06-29 14:23:28,274 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [043/500] T-Acc:  68.2%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 1.00e-06
2026-06-29 14:23:28,699 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [044/500] T-Acc:  63.6%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 1.00e-06
2026-06-29 14:23:29,167 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [045/500] T-Acc:  72.7%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 1.00e-06
2026-06-29 14:23:29,621 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [046/500] T-Acc:  72.7%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 1.00e-06
2026-06-29 14:23:29,622 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Early stop — best AUROC 0.7500 at epoch 6 (no improvement for 40 epochs)
2026-06-29 14:23:29,622 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Done. Best AUROC: 0.7500 (epoch 6)
2026-06-29 14:23:29,881 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | -> Fold 01 Result | Acc=0.500 Sens=0.500 Spec=0.500 AUROC=0.708 (Fixed Threshold: 0.5)
2026-06-29 14:23:29,901 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | === Fold 02/30 | train: 22 subj | test: 10 subj ===
2026-06-29 14:23:29,916 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Device: cuda | max_epochs=500 | batch=8 | es_patience=40 | lr=1e-04 | wd=1e-02
2026-06-29 14:23:29,917 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | CE weights — HC: 1.375  MCI: 0.786
2026-06-29 14:23:30,405 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [001/500] T-Acc:  36.4%  V-Acc:  60.0%  V-AUROC: 0.2917  LR: 2.00e-05
2026-06-29 14:23:30,508 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_142305_meta_renewed/fold_01_best.pth
2026-06-29 14:23:30,944 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [002/500] T-Acc:  40.9%  V-Acc:  60.0%  V-AUROC: 0.2917  LR: 4.00e-05
2026-06-29 14:23:31,416 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [003/500] T-Acc:  31.8%  V-Acc:  60.0%  V-AUROC: 0.3333  LR: 6.00e-05
2026-06-29 14:23:31,524 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_142305_meta_renewed/fold_01_best.pth
2026-06-29 14:23:31,978 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [004/500] T-Acc:  40.9%  V-Acc:  20.0%  V-AUROC: 0.3750  LR: 8.00e-05
2026-06-29 14:23:32,091 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_142305_meta_renewed/fold_01_best.pth
2026-06-29 14:23:32,523 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [005/500] T-Acc:  45.5%  V-Acc:  40.0%  V-AUROC: 0.3333  LR: 1.00e-04
2026-06-29 14:23:32,984 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [006/500] T-Acc:  59.1%  V-Acc:  30.0%  V-AUROC: 0.5417  LR: 1.00e-04
2026-06-29 14:23:33,105 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_142305_meta_renewed/fold_01_best.pth
2026-06-29 14:23:33,541 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [007/500] T-Acc:  54.5%  V-Acc:  30.0%  V-AUROC: 0.6250  LR: 1.00e-04
2026-06-29 14:23:33,657 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_142305_meta_renewed/fold_01_best.pth
2026-06-29 14:23:34,139 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [008/500] T-Acc:  63.6%  V-Acc:  40.0%  V-AUROC: 0.5000  LR: 1.00e-04
2026-06-29 14:23:34,642 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [009/500] T-Acc:  45.5%  V-Acc:  50.0%  V-AUROC: 0.4583  LR: 1.00e-04
2026-06-29 14:23:35,116 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [010/500] T-Acc:  59.1%  V-Acc:  50.0%  V-AUROC: 0.4583  LR: 1.00e-04
2026-06-29 14:23:35,583 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [011/500] T-Acc:  45.5%  V-Acc:  40.0%  V-AUROC: 0.4583  LR: 1.00e-04
2026-06-29 14:23:36,026 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [012/500] T-Acc:  59.1%  V-Acc:  50.0%  V-AUROC: 0.4583  LR: 1.00e-04
2026-06-29 14:23:36,449 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [013/500] T-Acc:  77.3%  V-Acc:  50.0%  V-AUROC: 0.3333  LR: 1.00e-04
2026-06-29 14:23:36,843 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [014/500] T-Acc:  72.7%  V-Acc:  50.0%  V-AUROC: 0.4167  LR: 1.00e-04
2026-06-29 14:23:37,232 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [015/500] T-Acc:  77.3%  V-Acc:  50.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 14:23:37,351 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_142305_meta_renewed/fold_01_best.pth
2026-06-29 14:23:37,782 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [016/500] T-Acc:  81.8%  V-Acc:  70.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:23:38,214 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [017/500] T-Acc:  90.9%  V-Acc:  60.0%  V-AUROC: 0.6250  LR: 1.00e-04
2026-06-29 14:23:38,642 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [018/500] T-Acc:  86.4%  V-Acc:  60.0%  V-AUROC: 0.6250  LR: 1.00e-04
2026-06-29 14:23:39,068 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [019/500] T-Acc:  77.3%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:23:39,479 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [020/500] T-Acc:  72.7%  V-Acc:  60.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:23:39,903 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [021/500] T-Acc:  81.8%  V-Acc:  40.0%  V-AUROC: 0.5833  LR: 1.00e-04
2026-06-29 14:23:40,319 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [022/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.5417  LR: 1.00e-04
2026-06-29 14:23:40,707 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [023/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.5000  LR: 1.00e-04
2026-06-29 14:23:41,174 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [024/500] T-Acc:  81.8%  V-Acc:  40.0%  V-AUROC: 0.5000  LR: 1.00e-04
2026-06-29 14:23:41,591 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [025/500] T-Acc:  86.4%  V-Acc:  40.0%  V-AUROC: 0.6250  LR: 1.00e-04
2026-06-29 14:23:42,047 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [026/500] T-Acc:  95.5%  V-Acc:  40.0%  V-AUROC: 0.6250  LR: 1.00e-04
2026-06-29 14:23:42,481 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [027/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.6250  LR: 2.00e-05
2026-06-29 14:23:42,949 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [028/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 2.00e-05
2026-06-29 14:23:43,386 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [029/500] T-Acc:  81.8%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 2.00e-05
2026-06-29 14:23:43,768 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [030/500] T-Acc:  81.8%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 2.00e-05
2026-06-29 14:23:44,154 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [031/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 2.00e-05
2026-06-29 14:23:44,556 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [032/500] T-Acc:  95.5%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 2.00e-05
2026-06-29 14:23:44,990 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [033/500] T-Acc:  81.8%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 2.00e-05
2026-06-29 14:23:45,406 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [034/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 2.00e-05
2026-06-29 14:23:45,816 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [035/500] T-Acc:  86.4%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 2.00e-05
2026-06-29 14:23:46,257 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [036/500] T-Acc:  95.5%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 2.00e-05
2026-06-29 14:23:46,721 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [037/500] T-Acc:  90.9%  V-Acc:  50.0%  V-AUROC: 0.7500  LR: 2.00e-05
2026-06-29 14:23:46,842 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_142305_meta_renewed/fold_01_best.pth
