2026-06-29 16:12:10,457 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [040/500] T-Acc:  95.5%  V-Acc:  60.0%  V-AUROC: 0.4167  LR: 4.00e-06
2026-06-29 16:12:10,821 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [041/500] T-Acc: 100.0%  V-Acc:  60.0%  V-AUROC: 0.4167  LR: 4.00e-06
2026-06-29 16:12:11,185 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [042/500] T-Acc:  95.5%  V-Acc:  60.0%  V-AUROC: 0.4167  LR: 4.00e-06
2026-06-29 16:12:11,542 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [043/500] T-Acc:  95.5%  V-Acc:  60.0%  V-AUROC: 0.4167  LR: 4.00e-06
2026-06-29 16:12:11,910 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [044/500] T-Acc:  95.5%  V-Acc:  60.0%  V-AUROC: 0.4167  LR: 4.00e-06
2026-06-29 16:12:11,911 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Early stop — best AUROC 0.5417 at epoch 14 (no improvement for 30 epochs)
2026-06-29 16:12:11,911 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Done. Best AUROC: 0.5417 (epoch 14)
2026-06-29 16:12:12,071 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Restored best-AUROC checkpoint into model (epoch 14, AUROC 0.5417).
2026-06-29 16:12:12,306 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | -> Fold 01 Result | Acc=0.600 Sens=0.500 Spec=0.750 AUROC=0.583 (Fixed Threshold: 0.5)
2026-06-29 16:12:12,315 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | === Fold 02/30 | train: 22 subj | test: 10 subj ===
2026-06-29 16:12:12,329 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Device: cuda | max_epochs=500 | batch=8 | es_patience=30 | lr=1e-04 | wd=1e-02
2026-06-29 16:12:12,330 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | CE weights — HC: 1.375  MCI: 0.786
2026-06-29 16:12:12,707 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [001/500] T-Acc:  45.5%  V-Acc:  50.0%  V-AUROC: 0.5833  LR: 2.00e-05
2026-06-29 16:12:12,807 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_01_best.pth
2026-06-29 16:12:13,154 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [002/500] T-Acc:  50.0%  V-Acc:  50.0%  V-AUROC: 0.5833  LR: 4.00e-05
2026-06-29 16:12:13,549 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [003/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.6250  LR: 6.00e-05
2026-06-29 16:12:13,657 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_01_best.pth
2026-06-29 16:12:14,067 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [004/500] T-Acc:  36.4%  V-Acc:  40.0%  V-AUROC: 0.5417  LR: 8.00e-05
2026-06-29 16:12:14,439 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [005/500] T-Acc:  68.2%  V-Acc:  40.0%  V-AUROC: 0.6250  LR: 1.00e-04
2026-06-29 16:12:14,837 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [006/500] T-Acc:  77.3%  V-Acc:  40.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 16:12:14,947 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_01_best.pth
2026-06-29 16:12:15,333 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [007/500] T-Acc:  90.9%  V-Acc:  60.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 16:12:15,445 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_161150_meta_renewed_t37/fold_01_best.pth
2026-06-29 16:12:15,823 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [008/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.7500  LR: 1.00e-04
2026-06-29 16:12:16,190 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [009/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.7500  LR: 1.00e-04
