2026-07-04 22:46:11,046 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [023/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:46:33,947 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [024/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:46:56,867 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [025/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 1.00e-04
2026-07-04 22:47:19,783 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [026/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:47:42,784 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [027/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:48:05,697 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [028/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:48:28,659 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [029/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:48:51,576 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [030/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:49:14,564 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [031/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:49:37,552 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [032/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:50:00,605 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [033/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:50:23,580 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [034/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:50:46,522 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [035/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:51:09,434 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [036/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 2.00e-05
2026-07-04 22:51:32,373 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [037/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 4.00e-06
2026-07-04 22:51:55,291 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [038/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 4.00e-06
2026-07-04 22:52:18,197 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [039/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 4.00e-06
2026-07-04 22:52:41,138 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [040/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 4.00e-06
2026-07-04 22:53:04,096 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [041/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 4.00e-06
2026-07-04 22:53:27,031 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [042/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 4.00e-06
2026-07-04 22:53:50,016 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [043/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 4.00e-06
2026-07-04 22:54:13,034 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [044/500] T-Acc:  60.0%  V-Acc:  66.7%  V-AUROC: 0.5938  LR: 4.00e-06
2026-07-04 22:54:13,034 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Stage 2 early stop — best AUROC 0.5938 at epoch 14
2026-07-04 22:54:13,263 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Restored best-AUROC Stage 2 state (epoch 14, AUROC 0.5938)
2026-07-04 22:54:13,263 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Stage 2 done. Best val AUROC: 0.5938 (epoch 14)
