2026-07-04 18:34:05,974 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [013/500] T-Acc:  96.0%  V-Acc:  41.7%  V-AUROC: 0.7188  LR: 1.00e-04
2026-07-04 18:34:28,519 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [014/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6875  LR: 1.00e-04
2026-07-04 18:34:51,021 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [015/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 1.00e-04
2026-07-04 18:35:13,556 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [016/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 1.00e-04
2026-07-04 18:35:36,011 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [017/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 1.00e-04
2026-07-04 18:35:58,698 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [018/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:36:21,430 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [019/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:36:44,068 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [020/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:37:06,638 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [021/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:37:29,189 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [022/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:37:51,926 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [023/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:38:14,400 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [024/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:38:36,938 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [025/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:38:59,348 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [026/500] T-Acc: 100.0%  V-Acc:  41.7%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:39:21,779 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [027/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:39:44,416 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [028/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.6562  LR: 2.00e-05
2026-07-04 18:40:08,534 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [029/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.6562  LR: 4.00e-06
2026-07-04 18:40:31,359 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [030/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.6562  LR: 4.00e-06
2026-07-04 18:40:54,041 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [031/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.6562  LR: 4.00e-06
2026-07-04 18:41:16,499 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [032/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.6562  LR: 4.00e-06
2026-07-04 18:41:39,102 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | S2-Ep [033/500] T-Acc: 100.0%  V-Acc:  50.0%  V-AUROC: 0.6562  LR: 4.00e-06
2026-07-04 18:41:39,103 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Stage 2 early stop — best AUROC 0.8125 at epoch 3
2026-07-04 18:41:39,737 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Restored best-AUROC Stage 2 state (epoch 3, AUROC 0.8125)
2026-07-04 18:41:39,737 | [SIFT-DBT] | INFO | candidates.f_swin_sift_dbt.model_trainers.stage2_trainer | Stage 2 done. Best val AUROC: 0.8125 (epoch 3)
