2026-06-29 14:37:31,971 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [027/500] T-Acc:  90.9%  V-Acc:  80.0%  V-AUROC: 0.5833  LR: 2.00e-05
2026-06-29 14:37:32,386 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [028/500] T-Acc:  90.9%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 2.00e-05
2026-06-29 14:37:32,796 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [029/500] T-Acc: 100.0%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 2.00e-05
2026-06-29 14:37:33,223 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [030/500] T-Acc:  90.9%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 2.00e-05
2026-06-29 14:37:33,625 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [031/500] T-Acc:  86.4%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 2.00e-05
2026-06-29 14:37:34,043 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [032/500] T-Acc:  90.9%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:34,460 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [033/500] T-Acc:  90.9%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:34,844 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [034/500] T-Acc:  95.5%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:35,259 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [035/500] T-Acc:  95.5%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:35,662 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [036/500] T-Acc:  95.5%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:36,056 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [037/500] T-Acc:  95.5%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:36,469 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [038/500] T-Acc:  81.8%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:36,879 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [039/500] T-Acc:  86.4%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:37,259 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [040/500] T-Acc:  95.5%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:37,656 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [041/500] T-Acc: 100.0%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:38,086 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [042/500] T-Acc:  86.4%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 4.00e-06
2026-06-29 14:37:38,483 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [043/500] T-Acc:  95.5%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 1.00e-06
2026-06-29 14:37:38,891 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [044/500] T-Acc:  90.9%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 1.00e-06
2026-06-29 14:37:39,298 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [045/500] T-Acc: 100.0%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 1.00e-06
2026-06-29 14:37:39,685 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [046/500] T-Acc:  86.4%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 1.00e-06
2026-06-29 14:37:40,071 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [047/500] T-Acc:  95.5%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 1.00e-06
2026-06-29 14:37:40,479 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [048/500] T-Acc:  95.5%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 1.00e-06
2026-06-29 14:37:40,886 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [049/500] T-Acc: 100.0%  V-Acc:  80.0%  V-AUROC: 0.6250  LR: 1.00e-06
2026-06-29 14:37:40,887 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Early stop — best AUROC 0.8333 at epoch 9 (no improvement for 40 epochs)
2026-06-29 14:37:40,887 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Done. Best AUROC: 0.8333 (epoch 9)
2026-06-29 14:37:41,047 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Restored best-AUROC checkpoint into model (epoch 9, AUROC 0.8333).
2026-06-29 14:37:41,301 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | -> Fold 01 Result | Acc=0.600 Sens=0.333 Spec=1.000 AUROC=0.833 (Fixed Threshold: 0.5)
2026-06-29 14:37:41,320 | [META-RNW] | INFO | meta_classifier_renewed.evaluators.monte_carlo_evaluator | === Fold 02/30 | train: 22 subj | test: 10 subj ===
2026-06-29 14:37:41,335 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Device: cuda | max_epochs=500 | batch=8 | es_patience=40 | lr=1e-04 | wd=1e-02
2026-06-29 14:37:41,336 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | CE weights — HC: 1.375  MCI: 0.786
2026-06-29 14:37:41,798 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [001/500] T-Acc:  59.1%  V-Acc:  40.0%  V-AUROC: 0.6250  LR: 2.00e-05
2026-06-29 14:37:41,897 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_143716_meta_renewed/fold_01_best.pth
2026-06-29 14:37:42,311 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [002/500] T-Acc:  63.6%  V-Acc:  40.0%  V-AUROC: 0.8750  LR: 4.00e-05
2026-06-29 14:37:42,417 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer |   ↳ new best AUROC; saved checkpoint: /home/leggo/AIResearch/VOGBasedMCIDetectionSystemMobileViTSingleExperimentInference/outputs/checkpoints/run_20260629_143716_meta_renewed/fold_01_best.pth
2026-06-29 14:37:42,820 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [003/500] T-Acc:  63.6%  V-Acc:  40.0%  V-AUROC: 0.6250  LR: 6.00e-05
2026-06-29 14:37:43,272 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [004/500] T-Acc:  54.5%  V-Acc:  60.0%  V-AUROC: 0.6250  LR: 8.00e-05
2026-06-29 14:37:43,695 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [005/500] T-Acc:  45.5%  V-Acc:  50.0%  V-AUROC: 0.5833  LR: 1.00e-04
2026-06-29 14:37:44,152 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [006/500] T-Acc:  50.0%  V-Acc:  50.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:37:44,572 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [007/500] T-Acc:  59.1%  V-Acc:  40.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:45,031 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [008/500] T-Acc:  63.6%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:45,483 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [009/500] T-Acc:  59.1%  V-Acc:  60.0%  V-AUROC: 0.5833  LR: 1.00e-04
2026-06-29 14:37:45,937 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [010/500] T-Acc:  63.6%  V-Acc:  60.0%  V-AUROC: 0.6250  LR: 1.00e-04
2026-06-29 14:37:46,374 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [011/500] T-Acc:  68.2%  V-Acc:  50.0%  V-AUROC: 0.6667  LR: 1.00e-04
2026-06-29 14:37:46,809 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [012/500] T-Acc:  54.5%  V-Acc:  40.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:37:47,261 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [013/500] T-Acc:  59.1%  V-Acc:  40.0%  V-AUROC: 0.7083  LR: 1.00e-04
2026-06-29 14:37:47,709 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [014/500] T-Acc:  68.2%  V-Acc:  80.0%  V-AUROC: 0.8333  LR: 1.00e-04
2026-06-29 14:37:48,125 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [015/500] T-Acc:  54.5%  V-Acc:  80.0%  V-AUROC: 0.8750  LR: 1.00e-04
2026-06-29 14:37:48,581 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [016/500] T-Acc:  68.2%  V-Acc:  60.0%  V-AUROC: 0.8750  LR: 1.00e-04
2026-06-29 14:37:49,027 | [META-RNW] | INFO | meta_classifier_renewed.model_trainers.meta_trainer | Ep [017/500] T-Acc:  77.3%  V-Acc:  40.0%  V-AUROC: 0.8750  LR: 1.00e-04
